20140401;jom;sage;Journal of Management;1;Management
;0031-5826;wiley;Personnel Psychology;1;Management
;0021-9010;apa;Journal of Applied Psychology;1;Management
;orm;sage;Organizational Research Methods;1;Management
;0022-2380;wiley;Journal of Management Studies;1;Management
;0894-3796;wiley;Journal of Organizational Behavior;1;Management
;asq;sage;Administrative Science Quarterly;1;Management
;oss;sage;Organization Studies;1;Management
;fbr;sage;Family Business Review;1;Management
;1540-6520;wiley;Entrepreneurship: Theory and Practice;1;Business
;http://www.sciencedirect.com/science/journal/07495978;elsevier;Organizational Behavior and Human Decision Processes;1;Management
;;;;;
;0001-4273;ebsco;Academy of Management Journal;1;Management
;1537-260X;dedicated publisher;Academy of Management Learning & Education;1;Management
;1558-9080;dedicated publisher;Academy of Management Perspectives;1;Management
;1047-7039;dedicated publisher;Organization Science;1;Management
