20160429,oss,sage,Organization Studies,1,Management
20160429,7495978,elsevier,Organizational Behavior and Human Decision Processes,1,Management
,1537-260X,dedicated publisher,Academy of Management Learning & Education,0,Management
20160429,10.1111/(ISSN)1744-6570,wiley,Personnel Psychology,1,Management
,1558-9080,dedicated publisher,Academy of Management Perspectives,0,Management
20160429,10.1111/(ISSN)1540-6520,wiley,Entrepreneurship: Theory and Practice,1,Business
20160429,10.1002/(ISSN)1099-1379,wiley,Journal of Organizational Behavior,1,Management
20160429,10.1111/(ISSN)1467-6486,wiley,Journal of Management Studies,1,Management
,1047-7039,dedicated publisher,Organization Science,0,Management
20160429,0021-9010,apa,Journal of Applied Psychology,1,Management
20160429,asq,sage,Administrative Science Quarterly,1,Management
20160429,0001-4273,apa,Academy of Management Journal,1,Management
20160429,orm,sage,Organizational Research Methods,1,Management
20160429,fbr,sage,Family Business Review,1,Management
20160429,jom,sage,Journal of Management,1,Management
