journal,print issn,online issn
Journal of Applied Psychology,0021-9010,1939-1854
Academy of Management Journal,0001-4273,1948-0989
Academy of Management Learning & Education,1537-260X,1944-9585
Journal of Marketing Research,0022-2437,1547-7193
Journal of Public Administration Research and Theory,1053-1858,1477-9803
Journal of Consumer Research,0093-5301,1537-5277
Academy of Management Perspectives,1558-9080,1943-4529
Journal of Marketing,0022-2429,1547-7185
Organization Science,1047-7039,1526-5455
Journal of Business Venturing,0883-9026,
Leadership Quarterly,1048-9843,
Research Policy,0048-7333,
Journal of Consumer Psychology,1057-7408,1532-7663
Organizational Behavior and Human Decision Processes,0749-5978,1095-9920
Journal of Vocational Behavior,0001-8791,1095-9084
Family Business Review,0894-4865,1741-6248
Human Relations,0018-7267,1741-282X
Review of Public Personnel Administration,0734-371X,1552-759X
Organizational Research Methods,1094-4281,1552-7425
Journal of Management,0149-2063,1557-1211
American Review of Public Administration,0275-0740,1552-3357
Organization Studies,0170-8406,1741-3044
Administrative Science Quarterly,0001-8392,1930-3815
Administration & Society,0095-3997,1552-3039
International Public Management Journal,1096-7494,1559-3169
Public Management Review,1530-9576,1557-9271
Local Government Studies,0300-3930,1743-9388
International Journal of Public Administration,0190-0692,1532-4265
Entrepreneurship: Theory and Practice,1042-2587,1540-6520
Strategic Management Journal,0143-2095,1097-0266
Journal of Organizational Behavior,0894-3796,1099-1379
Journal of Management Studies,0022-2380,1467-6486
Personnel Psychology,0031-5826,1744-6570
Public Administration,0033-3298,1467-9299
Public Administration Review,0033-3352,1540-6210
